NOME,Ano,Ratio
SANTA CATARINA,2015,30.86
SANTA CATARINA,2016,30.43
SANTA CATARINA,2017,38.64
SANTA CATARINA,2018,35.14
SANTA CATARINA,2019,30.6
RIO GRANDE DO SUL,2012,66.22
RIO GRANDE DO SUL,2013,31.13
RIO GRANDE DO SUL,2014,41.17
RIO GRANDE DO SUL,2015,35.72
RIO GRANDE DO SUL,2016,38.89
RIO GRANDE DO SUL,2017,38.85
RIO GRANDE DO SUL,2018,36.42
RIO GRANDE DO SUL,2019,36.41
MATO GROSSO DO SUL,2012,68.64
MATO GROSSO DO SUL,2013,52.01
MATO GROSSO DO SUL,2014,59.01
MATO GROSSO DO SUL,2015,70.23
MATO GROSSO DO SUL,2016,65.99
MATO GROSSO DO SUL,2017,46.93
MATO GROSSO DO SUL,2018,65.5
MATO GROSSO DO SUL,2019,50.35
MATO GROSSO,2012,58.53
MATO GROSSO,2013,71.65
MATO GROSSO,2014,63.72
MATO GROSSO,2015,75.88
MATO GROSSO,2016,78.46
MATO GROSSO,2017,59.37
MATO GROSSO,2018,57.97
MATO GROSSO,2019,64.57
GOIAS,2012,57.9
GOIAS,2013,51.68
GOIAS,2014,51.11
GOIAS,2015,56.62
GOIAS,2016,55.47
GOIAS,2017,52.3
GOIAS,2018,64.73
GOIAS,2019,69.71
DISTRITO FEDERAL,2012,43.68
DISTRITO FEDERAL,2013,53.9
DISTRITO FEDERAL,2014,44.72
DISTRITO FEDERAL,2015,34.69
DISTRITO FEDERAL,2016,55.38
DISTRITO FEDERAL,2017,47.12
DISTRITO FEDERAL,2018,54.3
DISTRITO FEDERAL,2019,21.22
Norte,2012,62.59
Norte,2013,74.07
Norte,2014,78.35
Norte,2015,66.69
Norte,2016,72.52
Norte,2017,76.76
Norte,2018,72.06
Norte,2019,74.28
Nordeste,2012,65.58
Nordeste,2013,75.11
Nordeste,2014,71.18
Nordeste,2015,68.53
Nordeste,2016,67.45
Nordeste,2017,65.71
Nordeste,2018,62.62
Nordeste,2019,59.36
Sudeste,2012,45.72
Sudeste,2013,49.41
Sudeste,2014,51.57
Sudeste,2015,52.67
Sudeste,2016,53.48
Sudeste,2017,58.17
Sudeste,2018,52.75
Sudeste,2019,52.68
Sul,2012,47.95
Sul,2013,34.89
Sul,2014,37.58
Sul,2015,40.83
Sul,2016,40.07
Sul,2017,35.97
Sul,2018,36.88
Sul,2019,38.07
Centro Oeste,2012,57.32
Centro Oeste,2013,56.68
Centro Oeste,2014,54.27
Centro Oeste,2015,59.37
Centro Oeste,2016,62.59
Centro Oeste,2017,52.03
Centro Oeste,2018,61.39
Centro Oeste,2019,56.41
